country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Australia,2000,AUS,19017968.0,691886620672.0,3.621,0.19,350.008,6.048,1.758,556.108,61.562,12.448,29.241,0.804,0.426,18.404,0.506,0.268,185.797,9.77,290.901,15.296,0.42,123.171,10581.659,21807.176,6235.02,80.648,770.155,11226.311,3339.95,32.716,68632.961,1.887,7.953,0.418,46.61,2.451,31.91,34.755,206.1,10.837,168.15,8.842,99.53,5.233,102.65,5.398,0.178,3.378,1305.259,0.502,1.373,1.801,2.018,0.669,1.011,1.257,1.187,0.715,0.631,1.619,0.914,0.81,2.29,0.985,3.834,0.999,1.561,1.704,0.007,0.01,0.019,0.002,660.97,606.86,-59.107,-16.887
Australia,2001,AUS,19248146.0,713625763840.0,3.541,0.184,357.783,7.776,2.222,467.79,-88.318,-15.881,24.303,0.656,0.356,18.588,0.501,0.272,190.082,9.875,299.607,15.565,0.42,126.711,10939.443,22274.965,6425.103,88.82,819.481,11336.317,3443.124,36.204,68338.281,1.843,8.172,0.425,49.326,2.563,33.018,34.679,110.007,5.715,177.94,9.245,109.89,5.709,103.174,5.36,0.181,3.488,1315.385,0.47,1.394,1.523,2.053,0.661,1.02,1.262,1.202,0.764,0.646,1.623,0.916,0.851,2.433,1.037,2.184,0.996,1.635,1.709,0.007,0.01,0.02,0.002,667.51,635.53,-58.177,-16.26
Australia,2002,AUS,19475842.0,746683498496.0,3.488,0.179,362.537,4.753,1.329,428.655,-39.135,-8.366,22.01,0.574,0.319,18.615,0.486,0.27,191.147,9.815,318.184,16.337,0.426,130.199,11301.979,22703.619,6616.249,96.828,870.07,11402.436,3548.576,40.057,68892.781,1.797,8.007,0.411,50.589,2.598,32.36,34.108,66.119,3.395,172.55,8.86,103.81,5.33,105.452,5.415,0.198,3.853,1341.745,0.446,1.381,1.355,1.974,0.653,1.029,1.263,1.216,0.811,0.661,1.62,0.919,0.896,2.466,1.031,1.228,1.02,1.781,1.708,0.007,0.01,0.02,0.003,664.29,630.23,-44.353,-12.234
Australia,2003,AUS,19699004.0,773868617728.0,3.584,0.182,369.442,6.905,1.905,592.411,163.755,38.202,30.073,0.766,0.435,18.754,0.477,0.271,195.386,9.919,334.779,16.995,0.433,133.783,11671.421,23296.031,6811.635,103.986,919.787,11625.404,3658.25,43.981,69082.789,1.759,7.158,0.363,49.717,2.524,27.949,29.843,222.969,11.319,134.52,6.829,65.23,3.311,109.673,5.567,0.199,3.924,1360.862,0.417,1.336,1.769,1.857,0.643,1.037,1.272,1.228,0.846,0.673,1.638,0.922,0.938,2.077,0.978,3.822,1.033,1.775,1.701,0.007,0.01,0.02,0.003,587.87,550.56,-34.663,-9.382
Australia,2004,AUS,19925060.0,809419735040.0,3.555,0.178,382.873,13.432,3.636,568.784,-23.626,-3.988,28.546,0.703,0.405,19.216,0.473,0.273,202.225,10.149,344.481,17.289,0.426,137.338,12054.295,23864.816,7013.86,110.844,972.321,11811.314,3772.008,47.924,70486.32,1.735,6.858,0.344,52.534,2.637,30.561,32.09,185.911,9.331,151.88,7.623,85.45,4.289,113.759,5.709,0.198,3.943,1404.444,0.396,1.338,1.672,1.859,0.633,1.044,1.28,1.24,0.877,0.685,1.652,0.925,0.974,2.001,0.999,3.447,1.033,1.703,1.698,0.008,0.011,0.021,0.003,639.4,608.93,-38.393,-10.028
Australia,2005,AUS,20171732.0,840554577920.0,3.664,0.182,386.205,3.332,0.87,459.382,-109.403,-19.234,22.774,0.547,0.326,19.146,0.459,0.274,200.715,9.95,343.994,17.053,0.409,141.002,12440.5,24324.199,7214.576,117.758,1026.813,11884.492,3888.508,51.844,69917.164,1.678,6.914,0.343,54.492,2.701,28.31,29.818,73.176,3.628,133.37,6.612,62.61,3.104,116.499,5.775,0.194,3.92,1410.35,0.38,1.305,1.332,1.737,0.622,1.051,1.281,1.25,0.907,0.697,1.651,0.928,1.004,1.987,1.014,1.496,1.049,1.618,1.686,0.007,0.011,0.021,0.003,601.49,571.06,-42.212,-10.93
Australia,2006,AUS,20467032.0,868838998016.0,3.888,0.19,392.436,6.231,1.613,418.867,-40.515,-8.819,20.465,0.482,0.285,19.174,0.452,0.267,204.401,9.987,356.046,17.396,0.41,144.89,12832.936,24743.064,7418.976,124.804,1082.639,11910.922,4005.899,55.727,71863.758,1.693,7.046,0.344,55.826,2.728,29.987,31.724,26.43,1.291,154.45,7.546,84.77,4.142,117.392,5.736,0.19,3.883,1470.838,0.37,1.282,1.169,1.676,0.611,1.056,1.279,1.259,0.936,0.708,1.643,0.931,1.029,2.027,1.007,0.505,1.047,1.535,1.679,0.008,0.011,0.021,0.003,649.29,613.75,-36.39,-9.273
Australia,2007,AUS,20830832.0,913875861504.0,3.972,0.191,399.676,7.24,1.845,478.73,59.863,14.292,22.982,0.524,0.318,19.187,0.437,0.265,203.559,9.772,367.325,17.634,0.402,148.862,13232.612,25221.793,7622.535,132.309,1143.703,11989.975,4125.364,59.84,72304.695,1.648,7.504,0.36,61.064,2.931,29.657,31.184,79.054,3.795,150.36,7.218,77.99,3.744,119.464,5.735,0.197,4.113,1506.167,0.352,1.269,1.328,1.592,0.599,1.062,1.279,1.266,0.968,0.721,1.643,0.935,1.054,2.186,1.066,1.735,1.062,1.584,1.673,0.008,0.011,0.021,0.003,649.59,617.77,-32.352,-8.094
Australia,2008,AUS,21247876.0,942108901376.0,3.863,0.182,404.256,4.579,1.146,669.525,190.795,39.854,31.51,0.711,0.437,19.026,0.429,0.264,204.688,9.633,362.791,17.074,0.385,152.724,13636.868,25891.32,7827.223,139.791,1205.507,12255.244,4247.652,63.971,72089.344,1.626,7.483,0.352,61.803,2.909,27.782,29.202,265.269,12.484,133.42,6.279,61.66,2.902,122.288,5.755,0.194,4.131,1531.745,0.338,1.262,1.82,1.55,0.588,1.067,1.289,1.272,0.998,0.733,1.669,0.939,1.078,2.235,1.049,5.595,1.091,1.589,1.667,0.008,0.011,0.022,0.003,620.49,590.31,-41.465,-10.257
Australia,2009,AUS,21660898.0,964937515008.0,3.829,0.177,407.477,3.221,0.797,513.325,-156.199,-23.33,23.698,0.532,0.34,18.812,0.422,0.27,206.066,9.513,394.426,18.209,0.409,156.553,14044.346,26404.645,8033.289,147.757,1268.989,12361.093,4370.016,67.74,69689.844,1.564,7.966,0.368,63.482,2.931,27.936,29.465,105.848,4.887,138.83,6.409,66.92,3.089,122.364,5.649,0.174,3.769,1509.545,0.326,1.294,1.398,1.581,0.576,1.072,1.291,1.279,1.031,0.745,1.671,0.943,1.096,2.411,1.104,2.021,1.116,1.545,1.659,0.008,0.012,0.022,0.003,638.23,605.11,-13.051,-3.203
